수업명,스킬
경영정보시스템,
마케팅원론,
빅데이터수학,Linear Algebra
빅데이터통계학,"Python, Statistics"
빅데이터프로그래밍1,Python
재무관리,
조직행동론,
AI기초 및 응용,"AI, Deep Learning, LLM, ML, DL, Computer Vision, ASR, TTS"
AI빅데이터 경제학,
DB기초 및 응용,"SQL, Query, PostgreSQL, Python, R"
ESG 데이터 분석,"HTML, CSS, R, API, Python, Data Visualization"
머신러닝 기초 및 응용,"ML, 머신러닝, Scikit-learn, AI, Deep Learning, LLM"
빅데이터개론,"Spark, NoSQL,Computer Vision, NLP, Data Extraction, Data Cleansing,  Storage"
빅데이터마케팅,"Tableau, Data Extraction, Data Cleansing, No-code"
빅데이터 분석과 컨설팅,
빅데이터 세미나,"AI, Deep Learning, LLM, Prompt Engineering, RAG"
빅데이터 알고리즘,"CS, OOP, Network, AI"
빅데이터 애널리틱스,"ML, R"
빅데이터 의사결정분석,"ML, DL, LLM, Python"
빅데이터 프로그래밍2,"Statistics, Data Extraction, R, ML"
생산운영관리,
소셜네트워크 과학,"Python, ML, Statistics"
최적화이론 기초,
추천시스템,"Python, DL, LLM, CS, E-commerce"
경영통계학,"Statistics, Linear Algebra"
경영학원론,
책임경영,
회계원리,
AI빅데이터윤리,
금융빅데이터처리,
빅데이터연구방법론,
AI 빅데이터경제학,
딥러닝기초및응용,
빅데이터플랫폼,
