Competency,Category
Data Analysis,Data & Analytics Skills
Programming,Programming & Tools
Python,Programming & Tools
Statistical Analysis,Data & Analytics Skills
Machine Learning,AI & Machine Learning
Problem Sovling,Business & Management
Team Project,Cooperation & Communication
Practice,Practice & Application
Big Data Processing,Data & Analytics Skills
Data Processing,Data & Analytics Skills
Coding,Programming & Tools
Deep Learning,AI & Machine Learning
Artificial Intelligence,AI & Machine Learning
Algorithm,Programming & Tools
Business Intelligence,Business & Management
R,Programming & Tools
SQL,Programming & Tools
Data Visualization,Data & Analytics Skills
Application,Practice & Application
Theoretical Understanding,Theory & Concept
Conceptual Understanding,Theory & Concept
Decision Making,Business & Management
Presentation,Cooperation & Communication
Project,Practice & Application
Cooperation,Cooperation & Communication
Generative AI,AI & Machine Learning
Prediction Analysis,Data & Analytics Skills
Optimization,Business & Management
AI Models,AI & Machine Learning
Strategical Thinking,Business & Management
Data-based Decision Making,Business & Management
Regression Analysis,Data & Analytics Skills
Clustering Analysis,Data & Analytics Skills
Classification Analysis,Data & Analytics Skills
Organization Management,Business & Management
Operation Management,Business & Management
Financial Analysis,Business & Management
Finance,Business & Management
Marketing,Business & Management
Business Insight,Business & Management
Communications,Cooperation & Communication
Case Analysis,Practice & Application
Apache Spark,Programming & Tools
Tableau,Programming & Tools
Database,Programming & Tools
Network Analysis,Data & Analytics Skills
Analytical Thinking,Theory & Concept
NoSQL,Programming & Tools
Text Mining,Data & Analytics Skills
Crawling,Data & Analytics Skills
